Date,Open,High,Low,Close,Adj Close,Volume
8/3/2016,"5,450.00","5,500.00","5,400.00","5,425.00","4,658.02",17.14
8/4/2016,"5,450.00","5,500.00","5,425.00","5,450.00","4,679.49",17.21
8/5/2016,"5,500.00","5,725.00","5,500.00","5,650.00","4,851.21",85.69
8/8/2016,"5,725.00","5,875.00","5,725.00","5,850.00","5,022.93",61.71
8/9/2016,"5,850.00","5,900.00","5,750.00","5,800.00","4,980.00",32.53
8/10/2016,"5,825.00","5,975.00","5,675.00","5,700.00","4,894.14",26.52
8/11/2016,"5,750.00","5,775.00","5,625.00","5,625.00","4,829.74",21.52
8/12/2016,"5,650.00","5,700.00","5,600.00","5,625.00","4,829.74",32.39
8/15/2016,"5,625.00","5,675.00","5,475.00","5,650.00","4,851.21",32.76
8/16/2016,"5,650.00","5,800.00","5,650.00","5,800.00","4,980.00",29.50
8/18/2016,"5,825.00","5,950.00","5,800.00","5,875.00","5,044.40",50.59
8/19/2016,"5,875.00","5,975.00","5,825.00","5,850.00","5,022.93",20.93
8/22/2016,"5,750.00","5,800.00","5,650.00","5,775.00","4,958.54",24.55
8/23/2016,"5,675.00","5,825.00","5,625.00","5,800.00","4,980.00",25.04
8/24/2016,"5,775.00","5,850.00","5,750.00","5,825.00","5,001.47",8.71
8/25/2016,"5,825.00","5,850.00","5,750.00","5,850.00","5,022.93",18.19
8/26/2016,"5,850.00","5,850.00","5,775.00","5,825.00","5,001.47",9.52
8/29/2016,"5,825.00","5,825.00","5,725.00","5,800.00","4,980.00",17.10
8/30/2016,"5,750.00","5,825.00","5,750.00","5,825.00","5,001.47",22.15
8/31/2016,"5,775.00","5,875.00","5,750.00","5,875.00","5,044.40",16.50
9/1/2016,"5,875.00","5,875.00","5,800.00","5,850.00","5,022.93",10.06
9/2/2016,"5,850.00","5,875.00","5,775.00","5,825.00","5,001.47",19.30
9/5/2016,"5,825.00","5,875.00","5,825.00","5,825.00","5,001.47",12.05
9/6/2016,"5,750.00","5,850.00","5,750.00","5,850.00","5,022.93",16.91
9/7/2016,"5,825.00","5,875.00","5,800.00","5,825.00","5,001.47",17.73
9/8/2016,"5,800.00","5,850.00","5,725.00","5,800.00","4,980.00",12.68
9/9/2016,"5,750.00","5,750.00","5,575.00","5,675.00","4,872.68",37.65
9/13/2016,"5,600.00","5,750.00","5,525.00","5,625.00","4,829.74",29.58
9/14/2016,"5,625.00","5,625.00","5,350.00","5,500.00","4,722.42",44.21
9/15/2016,"5,450.00","5,550.00","5,350.00","5,525.00","4,743.88",71.32
9/16/2016,"5,575.00","5,625.00","5,425.00","5,475.00","4,700.95",57.57
9/19/2016,"5,525.00","5,525.00","5,300.00","5,300.00","4,550.69",43.00
9/20/2016,"5,325.00","5,450.00","5,325.00","5,450.00","4,679.49",33.49
9/21/2016,"5,400.00","5,500.00","5,375.00","5,475.00","4,700.95",21.62
9/22/2016,"5,550.00","5,600.00","5,450.00","5,575.00","4,786.81",28.39
9/23/2016,"5,525.00","5,575.00","5,450.00","5,525.00","4,743.88",28.01
9/26/2016,"5,575.00","5,575.00","5,500.00","5,525.00","4,743.88",11.39
9/27/2016,"5,475.00","5,625.00","5,425.00","5,600.00","4,808.28",37.86
9/28/2016,"5,600.00","5,650.00","5,550.00","5,625.00","4,829.74",23.49
9/29/2016,"5,675.00","5,675.00","5,575.00","5,600.00","4,808.28",11.25
9/30/2016,"5,600.00","5,625.00","5,500.00","5,550.00","4,765.35",23.01
10/3/2016,"5,600.00","5,625.00","5,550.00","5,625.00","4,829.74",11.81
10/4/2016,"5,575.00","5,625.00","5,500.00","5,575.00","4,786.81",18.86
10/5/2016,"5,550.00","5,575.00","5,450.00","5,525.00","4,743.88",23.20
10/6/2016,"5,525.00","5,550.00","5,350.00","5,400.00","4,636.55",28.81
10/7/2016,"5,400.00","5,400.00","5,250.00","5,300.00","4,550.69",26.48
